,,ZCHECKER_MAINMENUOPT_LOGLEVEL_DETAILED,2. Detailed (default),2. Подробный (по умолч.)
,,ZCHECKER_MAINMENUOPT_LOGLEVEL_DEVELOPER,3. Development/API,3. Разработка/API
,,ZCHECKER_MAINMENUOPT_LOGLEVEL_DEBUG,4. Debug mode,4. Режим отладки
,,,,
,,ZCHECKER_MAINMENUOPT_FONTS_SMALL,Built-in smallfont,Встроенный smallfont
,,ZCHECKER_MAINMENUOPT_FONTS_SMSHORT,"Mono smallfont, short space",Моно-smallfont с кратким пробелом
,,ZCHECKER_MAINMENUOPT_FONTS_SMFULL,"Mono smallfont, full space",Моно-smallfont с длинным пробелом
,,ZCHECKER_MAINMENUOPT_FONTS_CONFONT,Built-in confont,Встроенный confont
,,ZCHECKER_MAINMENUOPT_FONTS_NEWSMALL,Built-in new smallfont,Встроенный new smallfont
,,ZCHECKER_MAINMENUOPT_FONTS_NEWCON,Built-in new confont,Встроенный new confont
,,ZCHECKER_MAINMENUOPT_NOFONTMSG,"\c~Font ""\c-%s\c~"" isn't available. You might be using an old GZDoom engine version.","\c~Шрифт ""\c-%s\c~"" недоступен. Вероятно, Вы используете старую версию движка GZDoom."
,,,,
,,ZCHECKER_MAINMENUOPT_NETEVENS_DISABLED,Disabled,Отключено
,,ZCHECKER_MAINMENUOPT_NETEVENS_NA,Names and args,Названия и аргументы
,,ZCHECKER_MAINMENUOPT_NETEVENS_NAM,"Names, args and maptime","Названия, аргументы и время"
,,ZCHECKER_MAINMENUOPT_NETEVENS_FULL,Full information,Вся доступная информация
,,,,
,,ZCHECKER_MAINMENUOPT_TWICE_SMOVE,Move silently,Тихо переместить
,,ZCHECKER_MAINMENUOPT_TWICE_SCOPY,Copy silently,Тихо скопировать
,,ZCHECKER_MAINMENUOPT_TWICE_MOVEWARN,Move and warn (default),"Переместить, предупредив (по умолч.)"
,,ZCHECKER_MAINMENUOPT_TWICE_COPYWARN,Copy and warn,"Скопировать, предупредив"
,,,,
,,,,
, === Infopanels control menu ===,,,
,,,,
,,ZCHECKER_INFOPANELSMENU_TITLE,ZChecker panels,Инфопанели ZChecker
,,ZCHECKER_INFOPANELSMENUDIV_PANELS,\c[gold]Informational panels settings,\c[gold]Настройки информационных панелей
,,ZCHECKER_INFOPANELSMENU_KEYSHELP1,"\c[tan]Switch info: \ccSpace\cu/\ccEnter\cu, %s or \ccLeft\cu/\ccRight","\c[tan]Вкл/Откл: \ccПробел\cu/\ccEnter\cu, %s или \ccВлево\cu/\ccВправо"
,,ZCHECKER_INFOPANELSMENU_KEYSHELP2,\c[darkgreen]Enter sumbenu: \ccF3\cu/\ccF4\cu/\ccTab\cu or \ccMMB,\c[darkgreen]Открыть подменю: \ccF3\cu/\ccF4\cu/\ccTab\cu или \ccСКМ
,,ZCHECKER_INFOPANELSMENU_KEYSHELP3,"\c[teal]Move panels: \cc+\cu/\ccKP+\cu,\cc-\cu/\ccKP-\cu or \ccMouse wheel","\c[teal]Перемещение: \cc+\cu/\ccKP+\cu,\cc-\cu/\ccKP-\cu или \ccКолесо мыши"
,,ZCHECKER_INFOPANELSMENUDIV_RESET,\c[gold]Control,\c[gold]Управление
,,ZCHECKER_INFOPANELSMENU_RESETBUTTON,Reset informational panels order,Сбросить порядок инфопанелей
,,ZCHECKER_INFOPANELSMENU_ZCHANDLER_ERROR,"\cxCannot locate ZChecker static event handler.\n\ciPossible reason: \cu""\crEventHandler = ...\cu""\n\ciin MAPINFO on GZDoom older than 4.8.0.\n\cxInformational panels are not able to be initialized.","""\n\cxНе удаётся найти ZChecker static event handler.\n\ciВозможная причина: \cu""\crEventHandler = ...\cu""\n\ciв MAPINFO с GZDoom ниже версии 4.8.0.\n\cxИнформационные панели инициализировать невозможно."
,,ZCHECKER_INFOPANELSMENUMSG_RESETORDER,\ccThe informational panels order has been reset to defaults.,\ccПорядок информационный панелей сброшен до исходного.
,,,,
,,ZCHECKER_INFOPANELS_MAIN,"General/main info (index, name, ...)","Основная информация (индекс, имя, ...)"
,,ZCHECKER_INFOPANELKEYS_MAIN,M,GMUJ
,,ZCHECKER_INFOPANELS_WORLDPOS,World positioning,Позиционирование в мире
,,ZCHECKER_INFOPANELKEYS_WORLDPOS,P,WPVG
,,ZCHECKER_INFOPANELS_INTERACTION,Interaction properties,Интерактивные свойства
,,ZCHECKER_INFOPANELKEYS_INTERACTION,,IB
,,ZCHECKER_INFOPANELS_GEOMSECTORS,Geometry: actor sectors,Геометрия: секторы
,,ZCHECKER_INFOPANELKEYS_GEOMSECTORS,S,GSCU
,,ZCHECKER_INFOPANELS_GEOMLINES,Geometry: actor lines,Геометрия: линии
,,ZCHECKER_INFOPANELKEYS_GEOMLINES,L,GLKU
,,ZCHECKER_INFOPANELS_INVENTORY,Inventory,Инвентарь
,,ZCHECKER_INFOPANELKEYS_INVENTORY,,IB
,,ZCHECKER_INFOPANELS_STATES,States,Стейты
,,ZCHECKER_INFOPANELKEYS_STATES,,SC
,,ZCHECKER_INFOPANELS_VISUAL,Visual [WIP],Визуальная составляющая [WIP]
,,ZCHECKER_INFOPANELKEYS_VISUAL,,VD
,,ZCHECKER_INFOPANELS_PTRCOMMON,Common pointers,Основные указатели
,,ZCHECKER_INFOPANELKEYS_PTRCOMMON,P,CPJE
,,ZCHECKER_INFOPANELS_PTRINTERACT,Interaction pointers,Указатели взаимодействия
,,ZCHECKER_INFOPANELKEYS_PTRINTERACT,P,IPED
,,ZCHECKER_INFOPANELS_PTRDEFLINKS,Deferred link pointers,Указатели отложенных действий
,,ZCHECKER_INFOPANELKEYS_PTRDEFLINKS,PL,DLPEJ
,,ZCHECKER_INFOPANELS_PTROTHER,Other pointers,Другие указатели
,,ZCHECKER_INFOPANELKEYS_PTROTHER,P,OPLE
,,ZCHECKER_INFOPANELS_ARGSTIDS,"Args, special & TIDs","Аргументы, действие и TID"
,,ZCHECKER_INFOPANELKEYS_ARGSTIDS,TS,ASTFL
,,ZCHECKER_INFOPANELS_FRIENDPLAYERS,Friendly players & teams,Дружественные игроки и команды
,,ZCHECKER_INFOPANELKEYS_FRIENDPLAYERS,PT,FPTBR
,,ZCHECKER_INFOPANELS_SOUNDDEFS,Sound properties,Звуковые свойства (properties)
,,ZCHECKER_INFOPANELKEYS_SOUNDDEFS,,SP
,,ZCHECKER_INFOPANELS_CHEATS,Cheats,Читы
,,ZCHECKER_INFOPANELKEYS_CHEATS,,CX
,,,,
,,ZCHECKER_INFOPANELSMENU_INALLPANELS,All,Во всех
,,ZCHECKER_INFOPANELSMENU_NOTINPANELS,None,Отключено
,,,,
,,ZCHECKER_PANELSOPT_FLAGS_OFF,Disabled,Отключено
,,ZCHECKER_PANELSOPT_FLAGS_SHORT,Shorten,Сокращённо
,,ZCHECKER_PANELSOPT_FLAGS_LONG,Long,Полностью
,,,,
,,ZCHECKER_PANELSUBMENUNOTE_PLAYSCOPE,Play-scoped class. Will be updated in world tick.,Будет обновлён во время следующего игрового такта.
,,ZCHECKER_PANELSUBMENU_DEFAULTLABEL,Submenu. ,Подменю. 
,,ZCHECKER_PANELSUBMENU_DEFAULTMORE,[...more],[...далее]
,,,,
,,ZCHECKER_PANELSUBLABEL_MAIN_PREFIX,Show ,Вывод 
,,ZCHECKER_PANELSUBLABEL_MAIN_TAG,tag anyway,тэга (всегда)
,,ZCHECKER_PANELSUBLABEL_MAIN_TAGAUTO,tag (auto),тэга (авто)
,,ZCHECKER_PANELSUBLABEL_MAIN_SELFPTR,pointer,указателя
,,ZCHECKER_PANELSUBLABEL_MAIN_PLRINFO,player info,инфо игрока
,,ZCHECKER_PANELSUBLABEL_MAIN_XPREFIX,No extras,Без дополнительной информации
,,ZCHECKER_PANELSUBMENU_MAIN_TITLE,ZChecker panel: General info,Панель ZChecker: Основная информация
,,ZCHECKER_PANELSUBMENU_MAIN_TAG,Actor tag,Тэг актора
,,ZCHECKER_PANELSUBMENU_MAIN_SELFPTR,Self pointer,Внутренний указатель
,,ZCHECKER_PANELSUBMENU_MAIN_PLAYERINFO,Player information,Информация об игроке
,,ZCHECKER_PANELMAINOPT_TAGS_OFF,Never,Не отображать
,,ZCHECKER_PANELMAINOPT_TAGS_AUTO,If different from classname,Если не равен названию класса
,,ZCHECKER_PANELMAINOPT_TAGS_ON,Always,Отображать всегда
,,,,
,,ZCHECKER_PANELSUBLABEL_WPOS_PREFIX,,
,,ZCHECKER_PANELSUBLABEL_WPOS_ROLLON,All rotations ,Все углы поворота
,,ZCHECKER_PANELSUBLABEL_WPOS_ROLLOFF,Angle and pitch ,"Рыскание, тангаж (angle, pitch)"
,,ZCHECKER_PANELSUBLABEL_WPOS_FRACLEN,with frac of length,", длина дроби"
,,ZCHECKER_PANELSUBLABEL_WPOS_BUTTONS,", show inputs",; клавиши
,,ZCHECKER_PANELSUBMENU_WPOS_TITLE,ZChecker panel: World positioning,Панель ZChecker: Позиционирование
,,ZCHECKER_PANELSUBMENU_WPOSDIV_TILTS,Tilts,Углы поворота
,,ZCHECKER_PANELSUBMENU_WPOS_DECIMAMNT,Number of decimals,Количество цифр в дробной части
,,ZCHECKER_PANELSUBMENU_WPOS_NOROLL,Hide roll,Убрать отображение крена (roll)
,,ZCHECKER_PANELSUBMENU_WPOSDIV_OTHER,Other,Другое
,,ZCHECKER_PANELSUBMENU_WPOS_PLAYERBUTTONS,Player inputs,Нажатые игроком клавиши
,,,,
,,ZCHECKER_PANELSUBLABEL_INV_PREFIX,,Предметы: 
,,ZCHECKER_PANELSUBLABEL_INV_SORTEDBY, items sorted by,", сорт. по"
,,ZCHECKER_PANELSUBLABEL_INV_UNSORTED, unsorted items,", несорт."
,,ZCHECKER_PANELSUBLABEL_INV_REVERSED,(asc.),(возр.)
,,ZCHECKER_PANELSUBMENU_INV_TITLE,ZChecker panel: Inventory,Панель ZChecker: Инвентарь
,,ZCHECKER_PANELSUBMENU_INV_ITEMSAMNT,Number of elements,Число отображаемых элементов
,,ZCHECKER_PANELSUBMENU_INV_SORTBY,Sort output by,Сортировать вывод по
,,ZCHECKER_PANELSUBMENU_INV_REVERSE,Ascending (reversed) output,Сортировка по возрастанию
,,ZCHECKER_PANELINVOPT_SORT_UNSORTED,(Unsorted),(Не сортировать)
,,ZCHECKER_PANELINVOPT_SORT_NAMES,Names,именам
,,ZCHECKER_PANELINVOPT_SORT_CURAMOUNT,Current amount,текущему кол-ву
,,ZCHECKER_PANELINVOPT_SORT_MAXAMOUNT,Max amount,максимальному кол-ву
,,,,
,,ZCHECKER_PANELSUBLABEL_STATES_PREFIX,,Кол-во стейтов: 
,,ZCHECKER_PANELSUBLABEL_STATES_STATES,state(s),строк
,,ZCHECKER_PANELSUBLABEL_STATES_UNLIMITED,Unlimited,без ограничений числа
,,ZCHECKER_PANELSUBLABEL_STATES_LOGGING,logging enabled,вывод в лог
,,ZCHECKER_PANELSUBMENU_STATES_TITLE,ZChecker panel: States,Панель ZChecker: Стейты
,,ZCHECKER_PANELSUBMENU_STATESDIV_GENERAL,General,Основное
,,ZCHECKER_PANELSUBMENU_STATES_AMNT,Amount,Количество
,,ZCHECKER_PANELSUBMENU_STATES_CONLOG,Log tracing to console,Выводить трассировку в консоль
,,ZCHECKER_PANELSUBMENU_STATESNOTE_CONLOG,Note: amount of 0 is an unlimited output,"Прим.: ""0"" означает отсутствие лимита вывода"
,,ZCHECKER_PANELSUBMENU_STATESDIV_CUR,For current state,Для текущего стейта
,,ZCHECKER_PANELSUBMENU_STATES_TICSBAR,Tics left bar,Строка оставшегося числа тиков
,,ZCHECKER_PANELSUBMENU_STATES_FLAGS,Flags,Флаги
,,ZCHECKER_PANELSUBMENU_STATES_EXTRAINFO,Extra info,Другая информация
,Not used in the current version. >>>,ZCHECKER_PANELSUBMENU_STATESDIV_PSPRITE,For ready weapon state/PSprite,
,<...>,ZCHECKER_PANELSUBMENU_STATES_OVERLAYS,Active overlay(s),
,,ZCHECKER_PANELSUBMENU_STATES_SPECIALID,Special overlay ID,
,,ZCHECKER_PANELSTATESOPT_UNLIMITED,Unlimited,
,,ZCHECKER_PANELSTATESOPT_PSPR_OFF,Disabled,
,,ZCHECKER_PANELSTATESOPT_PSPR_M,Main only,
,,ZCHECKER_PANELSTATESOPT_PSPR_MFLASH,Main + flash,
,,ZCHECKER_PANELSTATESOPT_PSPR_SPEC,Special only,
,<...>,ZCHECKER_PANELSTATESOPT_PSPR_MSPEC,Main + special,
,<<< Not used in the current version.,ZCHECKER_PANELSTATESOPT_PSPR_ALL,All overlays,
,,,,
,,ZCHECKER_PANELSUBLABEL_GSEC_PREFIX,,
,,ZCHECKER_PANELSUBLABEL_GSEC_FCSEC,Separated,Раздельно
,,ZCHECKER_PANELSUBLABEL_GSEC_CURSEC,United,Один блок
,,ZCHECKER_PANELSUBLABEL_GSEC_PREFIX2,Show ,Вывод: 
,,ZCHECKER_PANELSUBLABEL_GSEC_HEIGHTS,heights,высота
,,ZCHECKER_PANELSUBLABEL_GSEC_LIGHT,light,свет
,,ZCHECKER_PANELSUBLABEL_GSEC_TEXTURES,txtrs,ткстр
,,ZCHECKER_PANELSUBLABEL_GSEC_FLAGS,flags,флаги
,,ZCHECKER_PANELSUBLABEL_GSEC_DAMAGE,damage,урон
,,ZCHECKER_PANELSUBLABEL_GSEC_PHYSICS,phys,физ
,,ZCHECKER_PANELSUBLABEL_GSEC_PORTALS,portal,порталы
,,ZCHECKER_PANELSUBLABEL_GSEC_TERRAIN,terrain,terrain
,,ZCHECKER_PANELSUBLABEL_GSEC_OTHER,other,другое
,,ZCHECKER_PANELSUBMENU_GSEC_TITLE,ZChecker panel: Sectors geometry,Панель ZChecker: Геометрия секторов
,,ZCHECKER_PANELSUBMENU_GSEC_SEPARATE,Separated floor and ceiling,Раздельный вывод для пола/потолка
,,ZCHECKER_PANELSUBMENU_GSEC_HEIGHTS,Heights,Высоты
,,ZCHECKER_PANELSUBMENU_GSEC_LIGHT,Light level,Уровень освещения
,,ZCHECKER_PANELSUBMENU_GSEC_TEXTURES,Textures,Текстуры
,,ZCHECKER_PANELSUBMENU_GSEC_FLAGS,Flags,Флаги
,,ZCHECKER_PANELSUBMENU_GSEC_DAMAGE,Damage (also for terrain),Урон (также для terrain)
,,ZCHECKER_PANELSUBMENU_GSEC_PHYSICS,Interaction/Physics,Физические свойства/взаимодействие
,,ZCHECKER_PANELSUBMENU_GSEC_PORTALS,Portals,Порталы
,,ZCHECKER_PANELSUBMENU_GSEC_TERRAIN,Floor terrain data,Terrain пола
,,ZCHECKER_PANELSUBMENU_GSECNOTE_WIP,(Not released yet):,(Пока не реализровано):
,,ZCHECKER_PANELSUBMENU_GSEC_OTHER,"Other: water level, special, ...","Другое: уровень воды, действие, ..."
,,ZCHECKER_PANELGEOMSECOPT_HEIGHT_OFF,Disabled,Не выводить
,,ZCHECKER_PANELGEOMSECOPT_HEIGHT_ZONLY,Z coordinate,Z-координата
,,ZCHECKER_PANELGEOMSECOPT_HEIGHT_ZDELTA,Z coord + actor delta,Z-коорд. + дельта до актора
,,,,
,Not used in the current version. >>>,ZCHECKER_PANELGEOMLNOPT_TYPE_LOS,On line of sight,
,<...>,ZCHECKER_PANELGEOMLNOPT_TYPE_BLOCK,Blocking line,
,,ZCHECKER_PANELGEOMLNOPT_TYPE_BOTH,Both (LOS & blocking),
,,ZCHECKER_PANELGEOMLNOPT_SPEC_OFF,Disabled,
,,ZCHECKER_PANELGEOMLNOPT_SPEC_TAG,Action and tag,
,<...>,ZCHECKER_PANELGEOMLNOPT_SPEC_ARGS,"Action, args and tag",
,<<< Not used in the current version.,ZCHECKER_PANELGEOMLNOPT_SPEC_ALL,Everything,
,,,,
,,ZCHECKER_PANELSUBMENU_SNDDEFS_TITLE,ZChecker panel: Sound definitions,Панель ZChecker: Звуки (properties)
,,ZCHECKER_PANELSUBMENU_SNDDEFS_RARE,Output rare sounds,Вывод используемых редко
,,,,
,,,,
, === Visual Settings control menu ===,,,
,,,,
,,ZCHECKER_VISUAL_TITLE,ZChecker: HUD and visual settings,ZChecker: настройки отображения
,,ZCHECKER_VISUALDIV_POSITIONING,Panels positioning,Положение панелей
,,ZCHECKER_VISUAL_START_X,"Panels start X, %","Начало по X, %"
,,ZCHECKER_VISUAL_START_X_10,"Panels start X, x10%","Начало по X, x10%"
,,ZCHECKER_VISUAL_START_Y,"Panels start Y, %","Начало по Y, %"
,,ZCHECKER_VISUAL_START_Y_10,"Panels start Y, x10%","Начало по Y, x10%"
,,ZCHECKER_VISUAL_OFFSET_X,"Next panels X offset, %","Смещение по X, %"
,,ZCHECKER_VISUAL_PANELS_SCALE,Panels scale,Масштабирование
,,ZCHECKER_VISUAL_PANELS_Y_GAP,"Panels interval Y, multiplier","Интервал по Y, множитель"
,,ZCHECKER_VISUALDIV_BACKGROUND,Panels background,Настройки фона панелей
,,ZCHECKER_VISUAL_ENABLED,Enabled,Включён
,,ZCHECKER_VISUAL_DIMCOLOR,Background color,Цвет фона
,,ZCHECKER_VISUAL_DIMALPHA,Background alpha,Прозрачность фона
,,ZCHECKER_VISUAL_DIMBORDERWIDTH,Border width,Ширина границ
,,ZCHECKER_VISUALDIV_EVERYTHINGMAP_INFO,"""Everything"" map actor info","Информационный актор на картах ""Everything"""
,,ZCHECKER_VISUAL_INFOSTR_X,"Actor info string X, %","Начало строки по X, %"
,,ZCHECKER_VISUAL_INFOSTR_X10,"Actor info string X, x10%","Начало строки по X, x10%"
,,ZCHECKER_VISUAL_INFOSTR_Y,"Actor info string Y, %","Начало строки по Y, %"
,,ZCHECKER_VISUAL_INFOSTR_Y10,"Actor info string Y, x10%","Начало строки по Y, x10%"
,,ZCHECKER_VISUAL_INFOSTR_SCALE,Actor info string scale,Масштабирование строки
,,ZCHECKER_VISUALDIV_OTHER,Other,Остальное
,,ZCHECKER_VISUAL_FONTTYPES,General font,Глобальный шрифт
,,,,
," === Control menu for the ""Everything"" map ==",,,
,,,,
,,ZCHECKER_EVMAPMENU_TITLE,"ZChecker: ""Everything"" map settings","ZChecker: опции карт ""Everything"""
,,ZCHECKER_EVMAPMENU_SPAWNOPTIONS,Spawning options,Настройки создания акторов
,,ZCHECKER_EVMAPMENUDIV_GENERAL,- General -,- Общее -
,,ZCHECKER_EVMAPMENU_SPAWNREPLACED,Replaced actors,Заменённые акторы
,,ZCHECKER_EVMAPMENU_SPAWNBUILTIN,Actors built-in to the engine,"Акторы, встроенные в движок"
,,ZCHECKER_EVMAPMENU_RESTRICT,Unsafe built-in actors replacement,Замены встроенных запрещённых акторов
,,ZCHECKER_EVMAPMENUDIV_SPRITES,- By empty sprites -,- По пустым спрайтам -
,,ZCHECKER_EVMAPMENU_MISSING,Actors with missing sprites,Акторы с пропущенными спрайтами
,,ZCHECKER_EVMAPMENU_TNT1A0,Actors with the \'TNT1A0\' sprite,Акторы со спрайтами \'TNT1A0\'
,,ZCHECKER_EVMAPMENU_PLYC,Actors with corrupted sprite names,Акторы с искажёнными названиями спрайтов
,,ZCHECKER_EVMAPMENUDIV_CODEBASED,- Code-based -,- Код -
,,ZCHECKER_EVMAPMENU_MISSILES,+MISSILE actors,Снаряды (+MISSILE)
,,ZCHECKER_EVMAPMENU_STEALTH,+STEALTH actors,Стелс-акторы (+STEALTH)
,,ZCHECKER_EVMAPMENU_INVISIBLE,+INVISIBLE actors,Невидимые акторы (+INVISIBLE)
,,ZCHECKER_EVMAPMENU_PLAYERCHUNK,Inherited from \'PlayerChunk\',Наследованные от \'PlayerChunk\'
,,ZCHECKER_EVMAPMENU_BOSSBRAIN,Inherited from \'BossBrain\',Наследованные от \'BossBrain\'
,,ZCHECKER_EVMAPMENUDIV_OTHER,Other,Другое
,,ZCHECKER_EVMAPMENU_AUTONOTARGET,Auto-notarget,"Автовключение ""notarget"""
,,ZCHECKER_EVMAPMENU_AUTOGOD,Auto-godmode,Автовключение неуязвимости
,,ZCHECKER_EVMAPMENU_SPEC_CHEATS,Enable specified cheats automatically,Автоматически включать указанные читы
,,ZCHECKER_EVMAPMENU_ENTERING,"when entering the ""Everything"" map.","при входе на карты ""Everything""."
,,ZCHECKER_EVMAPMENU_LOGSPAWN,Log spawn information,Лог информации о создании
,,ZCHECKER_EVMAPMENU_LOGCREATED1,Log information to console about created (or,Вывод информации в консоль о созданных
,,ZCHECKER_EVMAPMENU_LOGCREATED2,"skipped) actors on the ""Everything"" map.","(и пропущенных) акторах на картах ""Everything""."
,,ZCHECKER_EVMAPMENU_FORCEUSE,Force use map scripts,Всегда использовать скрипты карты
,,ZCHECKER_EVMAPMENU_ALLOWSPEC1,"This option allows using special ""Everything"" map",Этот параметр позволяет запускать скрипты
,,ZCHECKER_EVMAPMENU_ALLOWSPEC2,"scripts for any map, skipping the conformity check.","карт ""Everything"" для любых уровней, минуя все проверки."
,,ZCHECKER_EVMAPMENU_ZCHANDLER_ERROR,"""\n\cxCannot locate ZChecker static event handler.\n\ciPossible reason: \cu""\crEventHandler = ...\cu""\n\ciin MAPINFO on GZDoom older than 4.8.0.\n\cx""Everything"" map CCMDs cannot be used.","""\n\cxНе удаётся найти ZChecker static event handler.\n\ciВозможная причина: \cu""\crEventHandler = ...\cu""\n\ciв MAPINFO с GZDoom ниже версии 4.8.0.\n\cxКоманды карты ""Everything"" не могут быть использованы."
,,,,
,,ZCHECKER_EVMAPMENUDIV_EVCCMDS,Related CCMDs (closes menu),Связанные команды (с закрытием меню)
,,ZCHECKER_EVMAPMENUDIV_MAINCCMDS,- General CCMDs -,- Общие консольные команды -
,,ZCHECKER_EVMAPMENU_RECREATEACTORS,"Recreate actors\cc: ""\cbzcevre\cc""","Пересоздать акторов\cc: ""\cbzcevre\cc"""
,,ZCHECKER_EVMAPMENU_CHANGEMAP1,"To simple Everything map\cc: ""\cuzcev map\cc""","На простую карту Everything\cc: ""\cuzcev map\cc"""
,,ZCHECKER_EVMAPMENU_CHANGEMAP2,"To alternative Everything map\cc: ""\cuzcev map2\cc""","На альтернативную карту Everything\cc: ""\cuzcev map2\cc"""
